Date,Islamic Date,Blast Day Type,Holiday Type,City,Province,Target Type,Killed Max,Injured Max,No. of Suicide Blasts,Explosive Weight (max),VicTams
Thursday-April 7-2011,3 Jumaada al-awal 1432 A.H,Working Day,nan,Quetta,Baluchistan,Police,1,19,1,2,20
Saturday-April 23-2011,19 Jumaada al-awal 1432 A.H,Working Day,nan,Bajaur Agency,FATA,Anti-Militants,5,8,1,1.5,13
Friday-May 13-2011,nan,Working Day,nan,Charsadda,KPK,Military,95,140,2,10,235
Saturday-May 14-2011,nan,Working Day,nan,D.G Khan ,KPK,civilian,3,9,1,1,12
Wednesday-May 25-2011,nan,Working Day,nan,Peshawar,KPK,Police,11,48,1,5,59
Thursday-May 26-2011,nan,Working Day,nan,Hangu,KPK,Police,32,60,1,8,92
Saturday-May 28-2011,nan,Working Day,nan,Bajaur Agency,FATA,Anti-Militants,8,11,1,2,19
Sunday-June 5-2011,nan,Holiday,Weekend,Nowshehra,KPK,Military,19,45,1,5.5,64
Sunday-June 12-2011,nan,Holiday,Weekend,Peshawar,KPK,Civilian,35,107,1,12,142
Monday-June 13-2011,nan,Working Day,nan,Islamabad,Capital,Civilian,2,6,1,1,8
Saturday-June 25-2011,nan,Working Day,nan,D.I Khan ,KPK,Police,10,5,1,1.5,15
Monday-July 11-2011,nan,Working Day,nan,Peshawar,KPK,Government Official,7,26,1,3,33
Thursday-July 21-2011,nan,Working Day,nan,South waziristan,FATA,Foreigner,0,2,1,0.5,2
Sunday-July 24-2011,nan,Holiday,Weekend,South waziristan,FATA,Military,1,7,1,1,8
Saturday-August 6-2011,nan,Working Day,nan,Mohmand Agency ,Fata,Military,1,0,1,0.5,1
Thursday-August 11-2011,nan,Working Day,nan,Peshawar,KPK,Police,2,12,1,1.5,14
Friday-August 19-2011,nan,Working Day,nan,Khyber Agency,KPK,Civilian,60,130,1,16,190
Wednesday-August 31-2011,5 SHawwal 1432 A.H.,Holiday,Eid-ul-Fitar,Quetta,Baluchistan,religious,13,25,1,3,38
Thursday-September 1-2011,6 SHawwal 1432 A.H.,Holiday,Eid-ul-Fitar,Lakki marwat,KPK,Police,2,25,1,2.5,27
Wednesday-September 7-2011,nan,Working Day,nan,Quetta,Baluchistan,Military,28,82,2,4.5,110
Thursday-September 15-2011,nan,Working Day,nan,Lower Dir,KPK,Civilian,34,75,1,9,109
Monday-September 19-2011,nan,Working Day,nan,karachi,Sindh,Police,8,7,1,1.5,15
Friday-October 28-2011,nan,Working Day,nan,Nowshehra,KPK,Police,2,7,1,1,9
Monday-November 7-2011,nan,Working Day,nan,Swabi ,KPK,Government Official,3,9,1,1,12
Wednesday-November 16-2011,nan,Working Day,nan,Karachi,Sindh,Police,7,1,1,1,8
Friday-November 18-2011,nan,Working Day,nan,Karachi,Sindh,Military,1,4,1,1,5
Saturday-December 24-2011,nan,Working Day,nan,Bannu,KPK,Military,6,19,1,2,25
Tuesday-January 3-2012,nan,Working Day,nan,Gujrat,Punjab,Civilian,2,5,1,1,7
Tuesday-January 3-2012,nan,Working Day,nan,Peshawar,KPK,Civilian,2,28,1,2.5,30
Tuesday-January 3-2012,nan,Working Day,nan,Khyber Agency,FATA,Civilian,3,9,1,1,12
Saturday-January 14-2012,nan,Working Day,nan,D.I Khan,KPK,Police,8,10,3,0.5,18
Monday-January 30-2012,nan,Working Day,nan,Peshawar,KPK,Anti-Militants,4,8,1,1,12
Friday-February 17-2012,nan,Working Day,nan,Kuram Agency ,FATA,Civilian,28,36,1,5.5,64
Thursday-February 16-2012,nan,Working Day,nan,Upper Dir,FATA,Civilian,1,3,1,0.5,4
Friday-February 24-2012,nan,Working Day,nan,Peshawar,KPK,Police,4,6,3,0.5,10
Saturday-March 3-2012,nan,Holiday,Weekend,Peshawar,KPK,Government Official,1,6,1,1,7
Sunday-March 4-2012,nan,Holiday,Weekend,D.I Khan,KPK,Police,0,3,1,0.5,3
Sunday-March 11-2012,nan,Holiday,Weekend,Peshawar,KPK,Government Official,15,33,1,4,48
Thursday-March 15-2012,nan,Working Day,nan,Peshawar,KPK,Police,1,5,1,1,6
Friday-March 23-2012,nan,Working Day,nan,Khyber Agency,KPK,Anti-Militants,13,10,1,2,23
Thursday-April 5-2012,nan,Working Day,nan,Karachi,Sindh,Police,7,14,1,2,21
Friday-May 4-2012,nan,Working Day,nan,Bajaur Agency,FATA,Police,26,75,1,8.5,101
Tuesday-June 12-2012,nan,Working Day,nan,Peshawar,KPK,Anti-Militants,3,5,1,1,8
Thursday-June 28-2012,nan,Working Day,nan,Quetta,Baluchistan,Religious,14,30,1,3.5,44
Monday-July 16-2012,nan,Working Day,nan,Bannu,KPK,Police,7,8,1,1.5,15
Monday-September 3-2012,nan,Working Day,nan,Peshawar,KPK,Foreigner,2,21,1,2,23
Monday-September 10-2012,nan,Working Day,nan,Kuram Agency ,FATA,Civilian,15,80,1,8,95
Saturday-October 13-2012,nan,Holiday,Weekend,Dara Adam khel,KPK,Anti-Militants,20,41,1,5,61
Sunday-November 4-2012,nan,Holiday,Weekend,Buner,KPK,Anti-Militants,6,10,1,1.5,16
Wednesday-November 7-2012,nan,Working Day,nan,Peshawar,KPK,Police,8,37,1,3.5,45
Thursday-November 8-2012,nan,Working Day,nan,Karachi,Sindh,Military,3,23,1,2,26
Monday-November 19-2012,nan,Working Day,nan,Mohmand Agency ,FATA,Government Official,0,4,1,0.5,4
Wednesday-November 21-2012,nan,Working Day,nan,Karachi,Sindh,Religious,4,7,1,1,11
Wednesday-November 21-2012,nan,Working Day,nan,Rawalpindi,Punjab,Religious,20,40,1,5,60
Sunday-November 25-2012,nan,Holiday,Ashura,D.I Khan,KPK,religious,6,80,1,7,86
